Position,"Track Name",Artist,Streams,URL
167,Millionär,"187 Strassenbande",3265,https://open.spotify.com/track/6mw02h3qbWmuq2bJCRjRAe
168,Anywhere,"Rita Ora",3244,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
169,"Answerphone (feat. Yxng Bane)","Banx & Ranx",3228,https://open.spotify.com/track/1HagMz5nWk1HmevNCBOxF3
170,"Walk It Talk It",Migos,3222,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
171,"Call Out My Name","The Weeknd",3220,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
172,"Rock Me Amadeus","Sun Diego",3186,https://open.spotify.com/track/5SBFZEipvLrddLiaDrZp2c
173,"Fukk Sleep","A$AP Rocky",3174,https://open.spotify.com/track/1AqemxWsT0iGg5Lvkm16Bt
174,"noch da",Cro,3164,https://open.spotify.com/track/78caEl4OqEJtKkuF1q164K
175,"When You're Ready","Shawn Mendes",3158,https://open.spotify.com/track/03vyB3AHCuEGfhh7wPc7Yf
176,"Bon Voyage","Miami Yacine",3158,https://open.spotify.com/track/1VfSu8qtTf5PMi3d8XVZGj
177,"Bella ciao - HUGEL Remix","El Profesor",3128,https://open.spotify.com/track/2dQzfKRaMKUCQgMpOtpLTh
178,Thunder,"Imagine Dragons",3125,https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn
179,"Beverly Hills",Ufo361,3102,https://open.spotify.com/track/42vM3qSh6CIaZLSlzFTZ7f
180,"Love Song","Zak Abel",3056,https://open.spotify.com/track/4E8u5JsVnF3qPXbNiR9m25
181,Stargazing,Kygo,3035,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
182,"Feel It Still","Portugal. The Man",2990,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
183,Then,Anne-Marie,2989,https://open.spotify.com/track/7tiRHGJtZzx6iWKfFpP6oF
184,"Palmen aus Plastik","Bonez MC",2989,https://open.spotify.com/track/6wHRm1KR8pzVDPdmR6Qovj
185,"Solo Dance","Martin Jensen",2956,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
186,"I Like Me Better",Lauv,2950,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
187,"Audio - with Sia, Diplo & Labrinth",Sia,2940,https://open.spotify.com/track/7boPPE857KEqCIHNwFkDop
188,Mine,Bazzi,2933,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
189,"Immer wieder (feat. MoTrip)",Rooz,2920,https://open.spotify.com/track/01q4ydDZhk4xdVb0M7uvgu
190,"Him & I (with Halsey)",G-Eazy,2919,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
191,"Kleiner Cabrón",Veysel,2899,https://open.spotify.com/track/18B8O0dI8RANa7Kx9vyemO
192,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",2895,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
193,Murcielago,"KC Rebell",2880,https://open.spotify.com/track/39qlqpwVzRkQP6WsILfIB5
194,"Heute mit mir",Nimo,2864,https://open.spotify.com/track/7fUWZUNj5qbEuoL6K9947g
195,Columbo,Wanda,2849,https://open.spotify.com/track/2mhwX8vAz2l3i2wlrG8Av1
196,"Y. HURN wieso?","Yung Hurn",2824,https://open.spotify.com/track/2J6Lnt71tZ7WEjWz5n7CiA
197,Perfect,"Ed Sheeran",2781,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
198,"'Till I Collapse",Eminem,2773,https://open.spotify.com/track/6yr8GiTHWvFfi4o6Q5ebdT
199,Senorita,"Kay One",2715,https://open.spotify.com/track/5OHOykHs3Ct2pgbqod8uMD
200,"Plug Walk","Rich The Kid",2706,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
